fecha,casos_acumulados,estimado,tipo,modelo
2020-02-15,30,CoronaMex,centinela,real
2020-02-16,38,CoronaMex,centinela,real
2020-02-17,46,CoronaMex,centinela,real
2020-02-18,54,CoronaMex,centinela,real
2020-02-19,67,CoronaMex,centinela,real
2020-02-20,80,CoronaMex,centinela,real
2020-02-21,84,CoronaMex,centinela,real
2020-02-22,88,CoronaMex,centinela,real
2020-02-23,92,CoronaMex,centinela,real
2020-02-24,96,CoronaMex,centinela,real
2020-02-25,104,CoronaMex,centinela,real
2020-02-26,117,CoronaMex,centinela,real
2020-02-27,145,CoronaMex,centinela,real
2020-02-28,186,CoronaMex,centinela,real
2020-02-29,241,CoronaMex,centinela,real
2020-03-01,314,CoronaMex,centinela,real
2020-03-02,391,CoronaMex,centinela,real
2020-03-03,478,CoronaMex,centinela,real
2020-03-04,602,CoronaMex,centinela,real
2020-03-05,746,CoronaMex,centinela,real
2020-03-06,979,CoronaMex,centinela,real
2020-03-07,1284,CoronaMex,centinela,real
2020-03-08,1648,CoronaMex,centinela,real
2020-03-09,2111,CoronaMex,centinela,real
2020-03-10,2701,CoronaMex,centinela,real
2020-03-11,3401,CoronaMex,centinela,real
2020-03-12,4208,CoronaMex,centinela,real
2020-03-13,5080,CoronaMex,centinela,real
2020-03-14,5977,CoronaMex,centinela,real
2020-03-15,6952,CoronaMex,centinela,real
2020-03-16,7964,CoronaMex,centinela,real
2020-03-17,9050,CoronaMex,centinela,real
2020-03-18,10121,CoronaMex,centinela,real
2020-03-19,11224,CoronaMex,centinela,real
2020-03-20,12452,CoronaMex,centinela,real
2020-03-21,13766,CoronaMex,centinela,real
2020-03-22,15198,CoronaMex,centinela,real
2020-03-23,16887,CoronaMex,centinela,real
2020-03-24,18704,CoronaMex,centinela,real
2020-03-25,20761,CoronaMex,centinela,real
2020-03-26,23053,CoronaMex,centinela,real
2020-03-27,25622,CoronaMex,centinela,real
2020-03-28,28473,CoronaMex,centinela,real
2020-03-29,31701,CoronaMex,centinela,real
2020-03-30,35131,CoronaMex,centinela,real
2020-03-31,38899,CoronaMex,centinela,real
2020-04-01,42922,CoronaMex,centinela,real
2020-04-02,47133,CoronaMex,centinela,real
2020-04-03,51682,CoronaMex,centinela,real
2020-04-04,56446,CoronaMex,centinela,real
2020-04-05,61481,CoronaMex,centinela,real
2020-04-06,66755,CoronaMex,centinela,real
2020-04-07,72702,CoronaMex,centinela,real
2020-04-08,78909,CoronaMex,centinela,real
2020-04-09,85443,CoronaMex,centinela,real
2020-04-10,92246,CoronaMex,centinela,real
2020-04-11,99305,CoronaMex,centinela,real
2020-04-12,106535,CoronaMex,centinela,real
2020-04-13,113946,CoronaMex,centinela,real
2020-04-14,120839,CoronaMex,centinela,real
2020-04-15,127728,CoronaMex,centinela,real
2020-04-16,134396,CoronaMex,centinela,real
