fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2020-11-28,2020-03-01,784,784,784,784,784,784,533,763,985,533,763,985
2020-11-28,2020-03-02,185.5937163550328,186.91820877221843,188.14167018648402,969.5937163550328,970.9182087722186,972.141670186484,120,184,234,721,953,1190
2020-11-28,2020-03-03,247.940144072644,251.83473364472275,255.43930391649423,1217.533860427677,1222.752942416941,1227.5809741029782,163,249,314,957,1208,1455
2020-11-28,2020-03-04,308.43167163062424,315.09834287669776,321.2894701088495,1525.965532058301,1537.851285293639,1548.8704442118278,208,312,393,1243,1523,1773
2020-11-28,2020-03-05,372.1721506021216,382.1414871133055,391.4387399408776,1898.1376826604226,1919.9927724069444,1940.3091841527055,261,376,486,1592,1904,2175
2020-11-28,2020-03-06,442.84520690591205,456.9201011245027,470.1068889434145,2340.9828895663345,2376.912873531447,2410.41607309612,306,445,574,2031,2364,2668
2020-11-28,2020-03-07,523.4506455293655,542.7003504060993,560.8220104754738,2864.4335350957003,2919.6132239375465,2971.2380835715935,369,535,693,2552,2902,3288
2020-11-28,2020-03-08,616.750190067476,642.5358232749782,666.9282738614257,3481.183725163176,3562.1490472125247,3638.1663574330196,444,637,823,3145,3552,3983
2020-11-28,2020-03-09,725.5503491844613,759.5728677766831,791.9135797679945,4206.734074347637,4321.721914989208,4430.079937201014,519,748,971,3806,4311,4784
2020-11-28,2020-03-10,852.896472999133,897.2636375892149,939.6419857875472,5059.63054734677,5218.985552578422,5369.721922988561,631,887.5,1164,4632,5229,5790
2020-11-28,2020-03-11,1002.2213362661731,1059.5333590168243,1114.5405040285405,6061.851883612943,6278.518911595247,6484.262427017102,738,1046,1361,5649,6290,6952
2020-11-28,2020-03-12,1177.4740858383923,1250.929637086555,1321.7700564700074,7239.325969451335,7529.448548681802,7806.032483487109,844,1236,1578,6773,7545,8339
2020-11-28,2020-03-13,1383.2455081061823,1476.7711604696444,1567.399391913584,8622.571477557518,9006.219709151446,9373.431875400693,993,1452,1860,8037,9009,9886
2020-11-28,2020-03-14,1624.900091607838,1743.3074504947242,1858.594862651138,10247.471569165356,10749.527159646172,11232.02673805183,1150,1714,2192,9695,10751,11865
