fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2021-02-10,2020-07-31,4737.8172998503815,4755.465842783457,4771.382443253666,485616.81729985034,485634.46584278345,485650.3824432536,3766,4713,5580,386639,480893,570556
2021-02-10,2020-08-01,4835.2113801927335,4884.538901842282,4929.0648831408225,490452.02868004306,490519.00474462565,490579.44732639444,3960,4848.5,5830,391762,485886.5,576050
2021-02-10,2020-08-02,4916.210244321505,4993.338611253608,5063.072647987378,495368.23892436456,495512.3433558793,495642.51997438184,4015,4933,5926,394942,490744,578981
2021-02-10,2020-08-03,4986.402049350441,5088.9432250647405,5181.858566530637,500354.640973715,500601.286580944,500824.37854091247,3968,5049,5964,401734,495929,585770
2021-02-10,2020-08-04,5049.520704672054,5176.066832169034,5291.036848701762,505404.1616783871,505777.35341311304,506115.41538961424,4063,5137.5,6100,405811,501190.5,590011
2021-02-10,2020-08-05,5108.061547445816,5257.850256874017,5394.339014504184,510512.22322583286,511035.2036699871,511509.7544041184,4040,5206.5,6155,411152,506340.5,595358
2021-02-10,2020-08-06,5163.692590322445,5336.387381602797,5494.247936774559,515675.9158161553,516371.5910515899,517004.00234089297,4243,5286.5,6321,416698,511565,601098
2021-02-10,2020-08-07,5217.529220704607,5413.075402384797,5592.418388300395,520893.44503685995,521784.66645397467,522596.42072919337,4257,5379.5,6378,418556,517252,602895
2021-02-10,2020-08-08,5270.317691233563,5488.8479169945385,5689.955983719819,526163.7627280935,527273.5143709693,528286.3767129132,4431,5441,6596,430147,522781,614327
2021-02-10,2020-08-09,5322.557686215942,5564.330041319067,5787.602198342642,531486.3204143094,532837.8444122883,534073.9789112558,4357,5505,6589,432053,528343.5,616565
2021-02-10,2020-08-10,5374.584192847674,5639.941637301331,5885.85708987273,536860.9046071571,538477.7860495896,539959.8360011285,4464,5601,6678,441354,533962,625756
2021-02-10,2020-08-11,5426.622189300857,5715.966010158758,5985.0606996373335,542287.5267964579,544193.7520597484,545944.8967007658,4470,5659,6704,444496,539752.5,628905
2021-02-10,2020-08-12,5478.823175235841,5792.5956259848745,6085.447046586455,547766.3499716938,549986.3476857332,552030.3437473524,4694,5748,7030,449866,545356.5,634225
2021-02-10,2020-08-13,5512.957717096622,5869.962536730743,6168.765343338726,553297.6395452049,555856.3102224639,558217.5236897768,4605,5848,6992,456813,551271,640766
2021-02-10,2020-08-14,5564.424185557547,5948.158628115358,6270.479753399137,558881.7305753325,561804.4688505793,564507.9004386555,4619,5922.5,7040,461994,557529,646308
2021-02-10,2020-08-15,5581.398981518055,5947.236795680152,6267.206240636267,564341.0609063845,567750.7548758113,570652.6249090945,4644,5902.5,7015,469613,563196.5,654260
2021-02-10,2020-08-16,5549.360959299405,5848.636941399465,6139.467029331098,569938.5878758761,573596.1053166068,576828.4843841116,4588,5789.5,6940,475088,568994,659680
2021-02-10,2020-08-17,5496.423745632066,5771.824197419688,6021.789809787447,575429.0694763268,579364.7994354959,582811.4183277778,4628,5728.5,6921,481060,574956.5,665413
2021-02-10,2020-08-18,5457.3883418961595,5713.177686619474,5935.607388995286,580967.9059062041,585074.3906029167,588793.821683955,4480,5671,6771,486478,580379.5,670764
2021-02-10,2020-08-19,5410.038913871763,5662.473161803806,5859.076737044497,586699.4877160069,590740.5645891291,594897.9865360924,4430,5626,6657,492506,585882.5,676462
2021-02-10,2020-08-20,5383.966865694057,5618.172186138615,5821.424379291752,592147.4285506994,596367.6044871714,600681.5811976173,4392,5573,6638,497420,591590,681676
2021-02-10,2020-08-21,5348.070704495702,5579.805106811894,5783.028148788988,597780.6433801936,601940.5500823795,606630.6842399304,4408,5552.5,6598,506345,597009,690535
2021-02-10,2020-08-22,5319.997078501955,5546.481012110074,5760.456953505339,602892.151291075,607492.6695207444,611997.2002265663,4441,5520,6584,515206,602592.5,699263
2021-02-10,2020-08-23,5293.07855575204,5511.384051256654,5747.508546915663,608345.0557395113,613018.6982873846,617725.1677470215,4464,5469.5,6602,521231,608236.5,704746
2021-02-10,2020-08-24,5249.05974463453,5479.008763506898,5722.297921600446,613596.7445762306,618481.29453918,623270.2811641856,4465,5436,6601,526489,613778.5,710219
2021-02-10,2020-08-25,5211.030311233453,5450.137319506749,5716.444801415339,618630.1414168967,623946.8356065499,628542.5331648911,4278,5435,6443,531791,619240.5,715815
2021-02-10,2020-08-26,5145.7716981394615,5421.793629151316,5684.937908448477,624083.3547087644,629354.4720010126,634182.2542652457,4256,5382,6398,531746,624767,715859
2021-02-10,2020-08-27,5119.881408863183,5390.929651869972,5691.395597686499,629290.1016405239,634770.7889504386,639613.3144306873,4201,5344,6343,538185,630200.5,722163
2021-02-10,2020-08-28,5046.827158301645,5363.38671406331,5655.83563086559,634938.5835740615,640165.3338519139,645551.5256786135,4295,5324.5,6434,546549,635528.5,730459
2021-02-10,2020-08-29,4997.531392904053,5336.866625344257,5644.450008269995,640020.6702344643,645530.7400868519,650908.9464915463,4144,5317.5,6328,554169,640492,737944
2021-02-10,2020-08-30,4954.105417403501,5280.69752041052,5577.201938253597,644915.3308290765,650793.2818860598,656036.8985238882,4159,5249,6316,558079,645997,742069
2021-02-10,2020-08-31,4915.37786296635,5196.547614891537,5442.753549732662,650286.1396786879,655957.4807794542,661661.0191173642,4153,5186,6226,558566,651090,742367
2021-02-10,2020-09-01,4870.7136243091945,5119.05164825569,5329.943840328589,654907.269409372,661090.0567168422,666498.25936709,4042,5077,6096,565012,656424,748767
2021-02-10,2020-09-02,4834.4972831061405,5049.1802356203425,5250.579953449974,659832.6987494736,666127.1680298664,671662.4128437819,4016,4991,5976,573301,661453,757457
2021-02-10,2020-09-03,4785.815169178218,4984.835556217922,5175.273338014561,664822.7039204465,671130.3731507503,676829.0099065135,3988,4953,5945,575002,666614,758984
2021-02-10,2020-09-04,4739.379547962677,4921.730084517163,5112.801485528163,669731.1605000203,676046.4431561456,681960.9863373854,3951,4908.5,5875,580050,671422.5,764199
2021-02-10,2020-09-05,4671.191120104817,4859.875024271694,5040.947637155212,673900.564787783,680914.6388713082,686331.546245988,3826,4819.5,5741,585479,676481,769881
