fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2020-11-27,2020-03-01,28,28,28,28,28,28,18,28,35,18,28,35
2020-11-27,2020-03-02,6.874967103374884,6.919694508699148,6.968642483652541,34.874967103374885,34.91969450869915,34.968642483652545,2,7,9,25,35,43
2020-11-27,2020-03-03,9.583304584465942,9.716214325034837,9.861956305731118,44.45827168784083,44.635908833733986,44.83059878938366,5,9,13,33,44,53
2020-11-27,2020-03-04,12.27139067056522,12.50305145872073,12.757944379733273,56.729662358406046,57.13896029245471,57.58854316911693,6,12,16,46,57,68
2020-11-27,2020-03-05,15.187481436797666,15.541737217220955,15.933148818359571,71.91714379520371,72.68069750967567,73.5216919874765,9,15,20,60,73,85
2020-11-27,2020-03-06,18.519501210842375,19.032001076637258,19.60081966280393,90.43664500604609,91.71269858631294,93.12251165028043,11,19,24,75,91,104
2020-11-27,2020-03-07,22.431580448597206,23.150410198004085,23.95194947577497,112.8682254546433,114.863108784317,117.0744611260554,14,23,29,96,115,129
2020-11-27,2020-03-08,27.086558108211886,28.074280824674545,29.18081541479331,139.95478356285517,142.93738960899157,146.2552765408487,17,27,34,120,143,158
2020-11-27,2020-03-09,32.66104129187585,33.99787374708907,35.50251963648266,172.61582485473102,176.93526335608064,181.7577961773314,23,33,42,153,177,196
2020-11-27,2020-03-10,39.29922142626958,41.14488754243751,43.10909318308009,211.97262411875957,218.08015089851813,224.92460961481626,27,41,50,191,217,240
2020-11-27,2020-03-11,47.334605320870565,49.779613206532574,52.393737076930236,259.38333372237713,267.8597641050507,277.39534885738135,36,49,62,238,267,296
2020-11-27,2020-03-12,57.00482379572302,60.2182200833055,63.66977487750941,316.4879556970777,328.07798418835625,341.16703504419473,44,60,74,290,328,357
2020-11-27,2020-03-13,68.64605560010185,72.84117653045008,77.36799873969544,384.76055274386124,400.9191607188063,418.1616036491321,50,72,87,360,401,440
2020-11-27,2020-03-14,82.66203232674476,88.10758717559196,94.01074843880114,467.422585070606,489.0267478943982,512.1723520879332,63,87,106,437,488,531
2020-11-27,2020-03-15,99.53829978845165,106.5721516289164,114.23209101836174,566.9608848590576,595.5988995233147,626.4044431062949,79,106,129,532,594,646
2020-11-27,2020-03-16,119.85918234094815,128.90546289111953,138.80212093921668,686.8200672000058,724.5043624144341,765.2065640455116,96,127,157,654,723,792
2020-11-27,2020-03-17,134.28553474117984,144.41180458950635,155.20825993353856,822.5208110486892,868.9443889018141,921.7816339850046,111,143,176,786,867,951
2020-11-27,2020-03-18,138.03335095310933,147.603562864937,157.2706877853854,959.5223921949926,1016.7733132547518,1077.783100605478,114,146,181,917,1016,1106
2020-11-27,2020-03-19,144.71892638690304,154.03543913793683,162.77870297824728,1108.5701711051886,1171.2302658069166,1244.500892825767,115,153,184,1056,1171,1271
2020-11-27,2020-03-20,154.58079109628946,162.98556673529538,172.18730213492083,1262.3429999052428,1333.9148586866886,1415.3699762438548,123,162,195,1224,1334,1458
2020-11-27,2020-03-21,164.79165357455568,173.7746634638546,182.48751926341274,1422.2272476675914,1507.1717002189991,1592.2452914918977,132,172,208,1377,1508,1635
2020-11-27,2020-03-22,176.5031094818985,186.22234960332798,194.78419238198111,1596.3496037019127,1693.1749366709664,1782.0027474459375,144,185,225,1551,1695,1835
2020-11-27,2020-03-23,189.09471347783634,199.8928008841725,208.65711741198712,1788.427166041331,1892.1108055829095,1989.4040216931337,154,197,240,1739,1893,2043
2020-11-27,2020-03-24,204.10064520301745,214.94321019400203,225.3096071850402,1991.4289297159364,2107.2475265070134,2207.450704880296,165,214,258,1945,2109,2274
2020-11-27,2020-03-25,218.8403509920589,231.3020724505567,242.20952544113422,2225.017898758674,2338.73668550705,2458.6416625576076,174,229.5,273,2161,2339,2518
2020-11-27,2020-03-26,235.16755678979243,249.06847938395447,261.3869264913214,2462.0205658621853,2588.6972391397558,2713.7088733375354,193,246,302,2376,2590,2764
2020-11-27,2020-03-27,253.16966099162585,268.2879359266064,283.4342320476141,2714.981726285766,2857.9243178253446,2986.861730447475,204,266,319,2635,2856.5,3048
2020-11-27,2020-03-28,270.9613016207302,288.98112781862187,305.693442811845,2989.6754165918032,3148.3169576913156,3284.314276844824,223,286,348,2925,3144,3367
2020-11-27,2020-03-29,291.2992248755294,311.34335078779225,331.3222549239903,3285.475212721818,3460.698360389589,3607.2196405228824,240,308,370,3212,3453.5,3689
2020-11-27,2020-03-30,311.32091820625516,335.4291718721222,357.45378389249015,3621.2497654962676,3796.7689579898006,3977.172459541674,255,333,397,3538,3793,4055
2020-11-27,2020-03-31,334.1811083362768,361.2579147378267,387.54756781707385,3957.1631422966348,4158.819881436155,4350.752762193727,267,358,425,3878,4153,4432
2020-11-27,2020-04-01,361.2845297246971,387.6843881038176,416.8895691058603,4308.821282381998,4545.488594215134,4742.809271230544,286,383,455,4219,4540.5,4819
2020-11-27,2020-04-02,388.32223691785083,414.07250538857323,439.27207319251,4701.77515512457,4960.7788579764165,5176.954716866821,317,410,492,4582,4958,5239
2020-11-27,2020-04-03,417.4362261474089,442.77184370256856,465.77017465058344,5131.192730147992,5403.966585312025,5647.868273253804,346,437,530,5072,5399,5775
2020-11-27,2020-04-04,450.779867009891,474.2347624680357,497.68600016166124,5590.961954126957,5878.617105371743,6146.118819079868,368,468,562,5514,5871.5,6279
2020-11-27,2020-04-05,485.70980891744955,507.65005681570454,532.7607952056746,6082.995419006454,6387.7713964354225,6679.179706264802,394,504,608,5952,6382,6774
2020-11-27,2020-04-06,519.6059646157082,543.8958713265672,567.7925356815942,6595.926459666424,6932.222581882399,7234.154622501225,428,540,649,6491,6920,7365
2020-11-27,2020-04-07,557.3133395641084,582.8274312528204,607.6797599268482,7165.386003750899,7515.193579049936,7842.405590985427,461,577,698,7025,7505,7951
2020-11-27,2020-04-08,597.3851486296585,624.6570316412633,650.9021388961828,7787.463159260655,8139.163146968197,8503.054039435305,489,620,738,7653,8137,8642
2020-11-27,2020-04-09,640.8789317908477,669.7848161856808,698.7925124089315,8438.30407837822,8806.75181950314,9197.252080827517,532,663,800,8275,8806.5,9328
2020-11-27,2020-04-10,683.4744624293442,718.1200680467703,747.1148278209691,9129.084488021459,9523.845040060489,9931.376361784089,556,713,849,8923,9515,10040
