fecha,casos_acumulados,estimado,tipo,modelo,fecha_estimacion
2020-02-15,19,CoronaMex,centinela,real,2020-05-05
2020-02-16,23,CoronaMex,centinela,real,2020-05-05
2020-02-17,27,CoronaMex,centinela,real,2020-05-05
2020-02-18,31,CoronaMex,centinela,real,2020-05-05
2020-02-19,39,CoronaMex,centinela,real,2020-05-05
2020-02-20,47,CoronaMex,centinela,real,2020-05-05
2020-02-21,51,CoronaMex,centinela,real,2020-05-05
2020-02-22,55,CoronaMex,centinela,real,2020-05-05
2020-02-23,59,CoronaMex,centinela,real,2020-05-05
2020-02-24,63,CoronaMex,centinela,real,2020-05-05
2020-02-25,71,CoronaMex,centinela,real,2020-05-05
2020-02-26,84,CoronaMex,centinela,real,2020-05-05
2020-02-27,112,CoronaMex,centinela,real,2020-05-05
2020-02-28,155,CoronaMex,centinela,real,2020-05-05
2020-02-29,211,CoronaMex,centinela,real,2020-05-05
2020-03-01,285,CoronaMex,centinela,real,2020-05-05
2020-03-02,363,CoronaMex,centinela,real,2020-05-05
2020-03-03,451,CoronaMex,centinela,real,2020-05-05
2020-03-04,576,CoronaMex,centinela,real,2020-05-05
2020-03-05,721,CoronaMex,centinela,real,2020-05-05
2020-03-06,957,CoronaMex,centinela,real,2020-05-05
2020-03-07,1268,CoronaMex,centinela,real,2020-05-05
2020-03-08,1644,CoronaMex,centinela,real,2020-05-05
2020-03-09,2120,CoronaMex,centinela,real,2020-05-05
2020-03-10,2727,CoronaMex,centinela,real,2020-05-05
2020-03-11,3441,CoronaMex,centinela,real,2020-05-05
2020-03-12,4266,CoronaMex,centinela,real,2020-05-05
2020-03-13,5153,CoronaMex,centinela,real,2020-05-05
2020-03-14,6072,CoronaMex,centinela,real,2020-05-05
2020-03-15,7064,CoronaMex,centinela,real,2020-05-05
2020-03-16,8102,CoronaMex,centinela,real,2020-05-05
2020-03-17,9211,CoronaMex,centinela,real,2020-05-05
2020-03-18,10310,CoronaMex,centinela,real,2020-05-05
2020-03-19,11438,CoronaMex,centinela,real,2020-05-05
2020-03-20,12706,CoronaMex,centinela,real,2020-05-05
2020-03-21,14054,CoronaMex,centinela,real,2020-05-05
2020-03-22,15523,CoronaMex,centinela,real,2020-05-05
2020-03-23,17262,CoronaMex,centinela,real,2020-05-05
2020-03-24,19133,CoronaMex,centinela,real,2020-05-05
2020-03-25,21261,CoronaMex,centinela,real,2020-05-05
2020-03-26,23627,CoronaMex,centinela,real,2020-05-05
2020-03-27,26253,CoronaMex,centinela,real,2020-05-05
2020-03-28,29160,CoronaMex,centinela,real,2020-05-05
2020-03-29,32441,CoronaMex,centinela,real,2020-05-05
2020-03-30,35906,CoronaMex,centinela,real,2020-05-05
2020-03-31,39725,CoronaMex,centinela,real,2020-05-05
2020-04-01,43777,CoronaMex,centinela,real,2020-05-05
2020-04-02,48028,CoronaMex,centinela,real,2020-05-05
2020-04-03,52646,CoronaMex,centinela,real,2020-05-05
2020-04-04,57476,CoronaMex,centinela,real,2020-05-05
2020-04-05,62620,CoronaMex,centinela,real,2020-05-05
2020-04-06,68056,CoronaMex,centinela,real,2020-05-05
2020-04-07,74258,CoronaMex,centinela,real,2020-05-05
2020-04-08,80808,CoronaMex,centinela,real,2020-05-05
2020-04-09,87810,CoronaMex,centinela,real,2020-05-05
2020-04-10,95226,CoronaMex,centinela,real,2020-05-05
2020-04-11,103198,CoronaMex,centinela,real,2020-05-05
2020-04-12,111853,CoronaMex,centinela,real,2020-05-05
2020-04-13,121106,CoronaMex,centinela,real,2020-05-05
2020-04-14,130542,CoronaMex,centinela,real,2020-05-05
2020-04-15,140835,CoronaMex,centinela,real,2020-05-05
2020-04-16,151775,CoronaMex,centinela,real,2020-05-05
2020-04-17,163883,CoronaMex,centinela,real,2020-05-05
2020-04-18,176515,CoronaMex,centinela,real,2020-05-05
2020-04-19,189198,CoronaMex,centinela,real,2020-05-05
2020-04-20,202283,CoronaMex,centinela,real,2020-05-05
2020-04-21,215659,CoronaMex,centinela,real,2020-05-05
2020-04-22,229044,CoronaMex,centinela,real,2020-05-05
2020-04-23,242552,CoronaMex,centinela,real,2020-05-05
2020-04-24,255592,CoronaMex,centinela,real,2020-05-05
2020-04-25,268687,CoronaMex,centinela,real,2020-05-05
2020-04-26,281506,CoronaMex,centinela,real,2020-05-05
2020-04-27,293630,CoronaMex,centinela,real,2020-05-05
2020-04-28,304949,CoronaMex,centinela,real,2020-05-05
2020-04-29,315162,CoronaMex,centinela,real,2020-05-05
2020-04-30,323456,CoronaMex,centinela,real,2020-05-05
2020-05-01,329527,CoronaMex,centinela,real,2020-05-05
2020-05-02,332748,CoronaMex,centinela,real,2020-05-05
2020-02-17,75,SSA,centinela,real,2020-05-05
2020-02-18,75,SSA,centinela,real,2020-05-05
2020-02-19,75,SSA,centinela,real,2020-05-05
2020-02-20,75,SSA,centinela,real,2020-05-05
2020-02-21,75,SSA,centinela,real,2020-05-05
2020-02-22,100,SSA,centinela,real,2020-05-05
2020-02-23,100,SSA,centinela,real,2020-05-05
2020-02-24,74,SSA,centinela,real,2020-05-05
2020-02-25,74,SSA,centinela,real,2020-05-05
2020-02-26,74,SSA,centinela,real,2020-05-05
2020-02-27,74,SSA,centinela,real,2020-05-05
2020-02-28,92,SSA,centinela,real,2020-05-05
2020-02-29,129,SSA,centinela,real,2020-05-05
2020-03-01,222,SSA,centinela,real,2020-05-05
2020-03-02,334,SSA,centinela,real,2020-05-05
2020-03-03,401,SSA,centinela,real,2020-05-05
2020-03-04,490,SSA,centinela,real,2020-05-05
2020-03-05,535,SSA,centinela,real,2020-05-05
2020-03-06,624,SSA,centinela,real,2020-05-05
2020-03-07,847,SSA,centinela,real,2020-05-05
2020-03-08,1093,SSA,centinela,real,2020-05-05
2020-03-09,1631,SSA,centinela,real,2020-05-05
2020-03-10,2153,SSA,centinela,real,2020-05-05
2020-03-11,2653,SSA,centinela,real,2020-05-05
2020-03-12,3262,SSA,centinela,real,2020-05-05
2020-03-13,4089,SSA,centinela,real,2020-05-05
2020-03-14,4937,SSA,centinela,real,2020-05-05
2020-03-15,5742,SSA,centinela,real,2020-05-05
2020-03-16,6822,SSA,centinela,real,2020-05-05
2020-03-17,7664,SSA,centinela,real,2020-05-05
2020-03-18,8816,SSA,centinela,real,2020-05-05
2020-03-19,9791,SSA,centinela,real,2020-05-05
2020-03-20,11253,SSA,centinela,real,2020-05-05
2020-03-21,12228,SSA,centinela,real,2020-05-05
2020-03-22,13225,SSA,centinela,real,2020-05-05
2020-03-23,14613,SSA,centinela,real,2020-05-05
2020-03-24,15881,SSA,centinela,real,2020-05-05
2020-03-25,17897,SSA,centinela,real,2020-05-05
2020-03-26,20496,SSA,centinela,real,2020-05-05
2020-03-27,22990,SSA,centinela,real,2020-05-05
2020-03-28,25838,SSA,centinela,real,2020-05-05
2020-03-29,28707,SSA,centinela,real,2020-05-05
2020-03-30,34363,SSA,centinela,real,2020-05-05
2020-03-31,37764,SSA,centinela,real,2020-05-05
2020-04-01,42424,SSA,centinela,real,2020-05-05
2020-04-02,47128,SSA,centinela,real,2020-05-05
2020-04-03,52473,SSA,centinela,real,2020-05-05
2020-04-04,56912,SSA,centinela,real,2020-05-05
2020-04-05,61329,SSA,centinela,real,2020-05-05
2020-04-06,65623,SSA,centinela,real,2020-05-05
2020-04-07,70150,SSA,centinela,real,2020-05-05
2020-04-08,76349,SSA,centinela,real,2020-05-05
2020-04-09,81991,SSA,centinela,real,2020-05-05
2020-04-10,91109,SSA,centinela,real,2020-05-05
2020-04-11,97630,SSA,centinela,real,2020-05-05
2020-04-12,104560,SSA,centinela,real,2020-05-05
2020-02-15,19,CoronaMex,simulacion,m1,2020-05-05
2020-02-16,20,CoronaMex,simulacion,m1,2020-05-05
2020-02-17,23,CoronaMex,simulacion,m1,2020-05-05
2020-02-18,29,CoronaMex,simulacion,m1,2020-05-05
2020-02-19,48,CoronaMex,simulacion,m1,2020-05-05
2020-02-20,60,CoronaMex,simulacion,m1,2020-05-05
2020-02-21,74,CoronaMex,simulacion,m1,2020-05-05
2020-02-22,91,CoronaMex,simulacion,m1,2020-05-05
2020-02-23,112,CoronaMex,simulacion,m1,2020-05-05
2020-02-24,137,CoronaMex,simulacion,m1,2020-05-05
2020-02-25,166,CoronaMex,simulacion,m1,2020-05-05
2020-02-26,202,CoronaMex,simulacion,m1,2020-05-05
2020-02-27,245,CoronaMex,simulacion,m1,2020-05-05
2020-02-28,297,CoronaMex,simulacion,m1,2020-05-05
2020-02-29,358,CoronaMex,simulacion,m1,2020-05-05
2020-03-01,432,CoronaMex,simulacion,m1,2020-05-05
2020-03-02,520,CoronaMex,simulacion,m1,2020-05-05
2020-03-03,624,CoronaMex,simulacion,m1,2020-05-05
2020-03-04,747,CoronaMex,simulacion,m1,2020-05-05
2020-03-05,891,CoronaMex,simulacion,m1,2020-05-05
2020-03-06,1062,CoronaMex,simulacion,m1,2020-05-05
2020-03-07,1264,CoronaMex,simulacion,m1,2020-05-05
2020-03-08,1503,CoronaMex,simulacion,m1,2020-05-05
2020-03-09,1784,CoronaMex,simulacion,m1,2020-05-05
2020-03-10,2117,CoronaMex,simulacion,m1,2020-05-05
2020-03-11,2511,CoronaMex,simulacion,m1,2020-05-05
2020-03-12,2974,CoronaMex,simulacion,m1,2020-05-05
2020-03-13,3518,CoronaMex,simulacion,m1,2020-05-05
2020-03-14,4157,CoronaMex,simulacion,m1,2020-05-05
2020-03-15,4904,CoronaMex,simulacion,m1,2020-05-05
2020-03-16,5781,CoronaMex,simulacion,m1,2020-05-05
2020-03-17,6810,CoronaMex,simulacion,m1,2020-05-05
2020-03-18,8017,CoronaMex,simulacion,m1,2020-05-05
2020-03-19,9433,CoronaMex,simulacion,m1,2020-05-05
2020-03-20,11094,CoronaMex,simulacion,m1,2020-05-05
2020-03-21,13038,CoronaMex,simulacion,m1,2020-05-05
2020-03-22,15276,CoronaMex,simulacion,m1,2020-05-05
2020-03-23,17676,CoronaMex,simulacion,m1,2020-05-05
2020-03-24,20120,CoronaMex,simulacion,m1,2020-05-05
2020-03-25,22607,CoronaMex,simulacion,m1,2020-05-05
2020-03-26,25200,CoronaMex,simulacion,m1,2020-05-05
2020-03-27,27926,CoronaMex,simulacion,m1,2020-05-05
2020-03-28,30772,CoronaMex,simulacion,m1,2020-05-05
2020-03-29,33735,CoronaMex,simulacion,m1,2020-05-05
2020-03-30,36828,CoronaMex,simulacion,m1,2020-05-05
2020-03-31,40056,CoronaMex,simulacion,m1,2020-05-05
2020-04-01,43447,CoronaMex,simulacion,m1,2020-05-05
2020-04-02,47137,CoronaMex,simulacion,m1,2020-05-05
2020-04-03,51224,CoronaMex,simulacion,m1,2020-05-05
2020-04-04,55771,CoronaMex,simulacion,m1,2020-05-05
2020-04-05,60804,CoronaMex,simulacion,m1,2020-05-05
2020-04-06,66349,CoronaMex,simulacion,m1,2020-05-05
2020-04-07,72460,CoronaMex,simulacion,m1,2020-05-05
2020-04-08,79197,CoronaMex,simulacion,m1,2020-05-05
2020-04-09,86624,CoronaMex,simulacion,m1,2020-05-05
2020-04-10,94806,CoronaMex,simulacion,m1,2020-05-05
2020-04-11,103820,CoronaMex,simulacion,m1,2020-05-05
2020-04-12,113269,CoronaMex,simulacion,m1,2020-05-05
2020-04-13,122851,CoronaMex,simulacion,m1,2020-05-05
2020-04-14,132655,CoronaMex,simulacion,m1,2020-05-05
2020-04-15,142733,CoronaMex,simulacion,m1,2020-05-05
2020-04-16,153109,CoronaMex,simulacion,m1,2020-05-05
2020-04-17,163797,CoronaMex,simulacion,m1,2020-05-05
2020-04-18,174809,CoronaMex,simulacion,m1,2020-05-05
2020-04-19,186158,CoronaMex,simulacion,m1,2020-05-05
2020-04-20,197854,CoronaMex,simulacion,m1,2020-05-05
2020-04-21,209908,CoronaMex,simulacion,m1,2020-05-05
2020-04-22,222332,CoronaMex,simulacion,m1,2020-05-05
2020-04-23,235135,CoronaMex,simulacion,m1,2020-05-05
2020-04-24,248330,CoronaMex,simulacion,m1,2020-05-05
2020-04-25,261927,CoronaMex,simulacion,m1,2020-05-05
2020-04-26,275939,CoronaMex,simulacion,m1,2020-05-05
2020-04-27,290378,CoronaMex,simulacion,m1,2020-05-05
2020-04-28,305258,CoronaMex,simulacion,m1,2020-05-05
