clave,casos_totales,muertes_totales,dia_1,dia_10,brote_dias,poblacion,incidencia,mortalidad
01_001,56385,2979,2020-03-07,2020-03-18,11,861446,6545.389960601129,345.8138989559415
01_002,1052,60,2020-03-15,2020-05-28,74,46624,2256.3486616334935,128.68908716540838
01_003,1577,47,2020-04-20,2020-05-07,17,52773,2988.270517120497,89.06069391544919
01_004,197,20,2020-05-07,2020-05-21,14,15321,1285.816852685856,130.53978199856405
01_005,1800,106,2020-03-23,2020-04-23,31,125750,1431.4115308151095,84.29423459244533
01_006,1684,86,2020-03-23,2020-04-30,38,45733,3682.242581943017,188.04801784269566
01_007,1300,88,2020-03-29,2020-04-30,32,50895,2554.278416347382,172.90500049120737
01_008,186,11,2020-04-18,2020-06-08,51,8768,2121.3503649635036,125.45620437956204
01_009,457,34,2020-03-25,2020-05-20,56,20484,2231.0095684436633,165.98320640499904
01_010,227,23,2020-04-01,2020-07-09,99,19955,1137.5595088950138,115.25933350037585
01_011,536,42,2020-04-17,2020-05-20,33,45152,1187.1013465627216,93.01913536498937
01_999,2,0,2020-05-13,NA,NA,NA,NA,NA
02_001,23493,1969,2020-03-16,2020-04-04,19,569425,4125.740878956843,345.7874171313167
02_002,47621,4345,2020-03-11,2020-03-17,6,1014987,4691.784229748756,428.08430058710115
02_003,4974,316,2020-03-23,2020-04-03,11,110870,4486.335347704519,285.01849012356814
02_004,53767,5384,2020-03-09,2020-03-16,7,1693494,3174.9152934701865,317.9225908092972
02_005,3888,206,2020-03-15,2020-04-08,24,110698,3512.2585773907385,186.0918896457027
02_999,7,0,2020-03-16,NA,NA,NA,NA,NA
03_001,7459,292,2020-04-08,2020-05-08,30,82445,9047.243616956759,354.17551094669176
03_002,6460,181,2020-04-02,2020-05-03,31,65196,9908.583348671697,277.6243941346095
03_003,46983,1077,2020-03-22,2020-03-27,5,293687,15997.643749978719,366.7169469537297
03_008,39050,1070,2020-03-13,2020-03-21,8,306837,12726.62684096116,348.71935262044667
03_009,3519,62,2020-05-18,2020-06-01,14,22045,15962.803356770242,281.2429122249943
