fecha,dia,casos_acumulados,modelo,grupo,fecha_estimacion
2020-02-24,0,12,real,Inicio de síntomas,2020-06-08
2020-02-25,1,13,real,Inicio de síntomas,2020-06-08
2020-02-26,2,14,real,Inicio de síntomas,2020-06-08
2020-02-27,3,16,real,Inicio de síntomas,2020-06-08
2020-02-28,4,18,real,Inicio de síntomas,2020-06-08
2020-02-29,5,20,real,Inicio de síntomas,2020-06-08
2020-03-01,6,26,real,Inicio de síntomas,2020-06-08
2020-03-02,7,35,real,Inicio de síntomas,2020-06-08
2020-03-03,8,41,real,Inicio de síntomas,2020-06-08
2020-03-04,9,48,real,Inicio de síntomas,2020-06-08
2020-03-05,10,55,real,Inicio de síntomas,2020-06-08
2020-03-06,11,65,real,Inicio de síntomas,2020-06-08
2020-03-07,12,86,real,Inicio de síntomas,2020-06-08
2020-03-08,13,107,real,Inicio de síntomas,2020-06-08
2020-03-09,14,169,real,Inicio de síntomas,2020-06-08
2020-03-10,15,219,real,Inicio de síntomas,2020-06-08
2020-03-11,16,270,real,Inicio de síntomas,2020-06-08
2020-03-12,17,328,real,Inicio de síntomas,2020-06-08
2020-03-13,18,413,real,Inicio de síntomas,2020-06-08
2020-03-14,19,505,real,Inicio de síntomas,2020-06-08
2020-03-15,20,604,real,Inicio de síntomas,2020-06-08
2020-03-16,21,736,real,Inicio de síntomas,2020-06-08
2020-03-17,22,844,real,Inicio de síntomas,2020-06-08
2020-03-18,23,968,real,Inicio de síntomas,2020-06-08
2020-03-19,24,1078,real,Inicio de síntomas,2020-06-08
2020-03-20,25,1260,real,Inicio de síntomas,2020-06-08
2020-03-21,26,1388,real,Inicio de síntomas,2020-06-08
2020-03-22,27,1528,real,Inicio de síntomas,2020-06-08
2020-03-23,28,1750,real,Inicio de síntomas,2020-06-08
2020-03-24,29,1930,real,Inicio de síntomas,2020-06-08
2020-03-25,30,2138,real,Inicio de síntomas,2020-06-08
2020-03-26,31,2384,real,Inicio de síntomas,2020-06-08
2020-03-27,32,2669,real,Inicio de síntomas,2020-06-08
2020-03-28,33,2938,real,Inicio de síntomas,2020-06-08
2020-03-29,34,3198,real,Inicio de síntomas,2020-06-08
2020-03-30,35,3579,real,Inicio de síntomas,2020-06-08
2020-03-31,36,3889,real,Inicio de síntomas,2020-06-08
2020-04-01,37,4345,real,Inicio de síntomas,2020-06-08
2020-04-02,38,4778,real,Inicio de síntomas,2020-06-08
2020-04-03,39,5217,real,Inicio de síntomas,2020-06-08
2020-04-04,40,5662,real,Inicio de síntomas,2020-06-08
2020-04-05,41,6087,real,Inicio de síntomas,2020-06-08
2020-04-06,42,6654,real,Inicio de síntomas,2020-06-08
2020-04-07,43,7151,real,Inicio de síntomas,2020-06-08
2020-04-08,44,7766,real,Inicio de síntomas,2020-06-08
2020-04-09,45,8374,real,Inicio de síntomas,2020-06-08
2020-04-10,46,9323,real,Inicio de síntomas,2020-06-08
2020-04-11,47,10030,real,Inicio de síntomas,2020-06-08
2020-04-12,48,10795,real,Inicio de síntomas,2020-06-08
2020-04-13,49,11744,real,Inicio de síntomas,2020-06-08
2020-04-14,50,12636,real,Inicio de síntomas,2020-06-08
2020-04-15,51,13659,real,Inicio de síntomas,2020-06-08
2020-04-16,52,14672,real,Inicio de síntomas,2020-06-08
2020-04-17,53,15812,real,Inicio de síntomas,2020-06-08
